CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
55140	P n m a	Rb2 Te	TiNiSi#MgSrSi	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55141	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55142	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55143	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55144	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55145	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55146	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55147	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55148	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55149	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55150	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55151	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55152	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
55153	P n m a	Rb2 Te	Cs2Te	Polymorphic forms of Rb2 Te: in-situ high-pressure DAC X-ray diffraction investigations and structure modelling with CASTEP	Zeitschrift fuer Kristallographie (2004) 219,  p. 359-369	4	293.00	2004	-1	
